Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 45 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.1,±1.1,±1.0,±0.8,,±0.9,±0.9,,±1.4,N,±1.2,N,N,±0.6,±0.7,±1.1,±1.4,,±0.3,±0.5,±0.8,±1.1,±0.6,±1.3,±0.8,±0.6,±1.3,,(X),±1.0,±1.0,,(X)
"Congressional District 46 (116th Congress), California!!Total!!Estimate","419,462",,"129,863","109,033","112,487","68,079",,"209,837","209,625",,"219,538","11,605","72,446",N,N,"99,871","10,307","228,510","97,783",,"36,297","45,277","108,140","108,032","26,663","66,900","28,153","337,888","95,053",,"407,947","35,463","372,484",,"78,733"
"Congressional District 46 (116th Congress), California!!Total!!Margin of Error","±11,345",,"±5,696","±6,074","±6,234","±4,781",,"±6,896","±7,342",,"±9,605","±2,112","±6,250",N,N,"±7,337","±2,046","±8,334","±6,607",,"±3,158","±4,227","±7,000","±6,189","±3,128","±5,459","±2,498","±10,895","±5,950",,"±11,364","±4,202","±11,782",,"±3,727"
"Congressional District 46 (116th Congress), California!!Percent!!Estimate",(X),,31.00%,26.00%,26.80%,16.20%,,50.00%,50.00%,,52.30%,2.80%,17.30%,N,N,23.80%,2.50%,54.50%,23.30%,,8.70%,10.80%,25.80%,25.80%,6.40%,15.90%,6.70%,80.60%,22.70%,,(X),8.70%,91.30%,,(X)
"Congressional District 46 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.3,±1.4,±1.2,±1.0,,±1.0,±1.0,,±1.8,±0.5,±1.4,N,N,±1.7,±0.5,±1.7,±1.4,,±0.7,±1.0,±1.5,±1.2,±0.7,±1.3,±0.6,±1.2,±1.4,,(X),±1.0,±1.0,,(X)
"Congressional District 47 (116th Congress), California!!Total!!Estimate","483,829",,"106,119","124,490","154,489","98,731",,"237,894","245,935",,"268,769","38,368","113,832",N,N,"42,833","15,506","131,257","185,066",,"26,695","31,431","101,707","125,244","34,109","114,594","50,049","425,703","164,643",,"477,614","50,077","427,537",,"76,345"
"Congressional District 47 (116th Congress), California!!Total!!Margin of Error","±12,800",,"±6,026","±7,544","±6,893","±5,890",,"±7,846","±7,556",,"±9,587","±4,379","±7,437",N,N,"±5,367","±2,439","±8,497","±8,179",,"±3,442","±3,123","±6,710","±6,921","±2,982","±5,932","±3,592","±11,908","±7,209",,"±12,652","±4,639","±11,599",,"±3,228"
"Congressional District 47 (116th Congress), California!!Percent!!Estimate",(X),,21.90%,25.70%,31.90%,20.40%,,49.20%,50.80%,,55.60%,7.90%,23.50%,N,N,8.90%,3.20%,27.10%,38.30%,,5.50%,6.50%,21.00%,25.90%,7.00%,23.70%,10.30%,88.00%,34.00%,,(X),10.50%,89.50%,,(X)
"Congressional District 47 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.2,±1.4,±1.1,±1.1,,±0.9,±0.9,,±1.5,±0.9,±1.3,N,N,±1.1,±0.5,±1.7,±1.4,,±0.7,±0.6,±1.2,±1.3,±0.6,±1.1,±0.7,±1.0,±1.4,,(X),±0.9,±0.9,,(X)
"Congressional District 48 (116th Congress), California!!Total!!Estimate","513,819",,"94,313","116,144","179,519","123,843",,"247,870","265,949",,"351,152",N,"96,932",N,N,"35,253","19,800","79,515","311,421",,"16,708","23,378","84,522","116,440","44,937","147,596","80,238","473,733","227,834",,"511,955","32,593","479,362",,"102,806"
