Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 14 (116th Congress), Michigan!!Percent!!Estimate",(X),,21.80%,23.00%,33.30%,21.80%,,46.50%,53.50%,,35.60%,58.50%,3.10%,N,N,0.70%,1.70%,2.90%,33.80%,,2.50%,7.40%,26.70%,24.80%,6.80%,18.40%,13.50%,90.10%,31.80%,,(X),16.70%,83.30%,,(X)
"Congressional District 14 (116th Congress), Michigan!!Percent!!Margin of Error",(X),,±1.0,±0.9,±1.0,±0.8,,±0.8,±0.8,,±1.3,±1.3,±0.5,N,N,±0.2,±0.3,±0.4,±1.3,,±0.4,±0.8,±1.1,±1.0,±0.6,±1.0,±0.8,±0.9,±1.3,,(X),±1.3,±1.3,,(X)
"Congressional District 1 (116th Congress), Minnesota!!Total!!Estimate","497,765",,"103,358","112,843","160,997","120,567",,"244,261","253,504",,"463,854","8,465","9,536",N,N,"6,791","7,001","18,524","452,931",,"9,322","22,874","146,822","114,765","61,869","93,116","48,997","465,569","142,113",,"480,386","38,920","441,466",,"67,213"
"Congressional District 1 (116th Congress), Minnesota!!Total!!Margin of Error","±2,954",,"±2,143","±2,109","±1,886","±1,027",,"±1,920","±2,150",,"±2,282","±1,565","±1,416",N,N,"±1,235","±1,303","±1,729","±1,737",,"±1,488","±1,856","±4,750","±4,131","±3,502","±3,899","±2,535","±3,526","±4,360",,"±3,456","±3,023","±4,301",,"±1,206"
"Congressional District 1 (116th Congress), Minnesota!!Percent!!Estimate",(X),,20.80%,22.70%,32.30%,24.20%,,49.10%,50.90%,,93.20%,1.70%,1.90%,N,N,1.40%,1.40%,3.70%,91.00%,,1.90%,4.60%,29.50%,23.10%,12.40%,18.70%,9.80%,93.50%,28.60%,,(X),8.10%,91.90%,,(X)
"Congressional District 1 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.2,,±0.3,±0.3,,±0.5,±0.3,±0.3,N,N,±0.2,±0.3,±0.3,±0.5,,±0.3,±0.4,±0.9,±0.8,±0.7,±0.8,±0.5,±0.5,±0.9,,(X),±0.6,±0.6,,(X)
"Congressional District 2 (116th Congress), Minnesota!!Total!!Estimate","517,880",,"97,765","135,104","183,241","101,770",,"253,501","264,379",,"453,246","20,613","20,697",N,N,"7,791",N,"20,144","441,499",,"6,704","19,198","117,927","117,500","60,578","134,801","61,172","491,978","195,973",,"508,595","27,376","481,219",,"91,024"
"Congressional District 2 (116th Congress), Minnesota!!Total!!Margin of Error","±3,963",,"±2,455","±2,693","±2,238","±1,929",,"±2,618","±2,416",,"±3,889","±2,548","±2,134",N,N,"±2,333",N,"±1,969","±3,389",,"±1,726","±2,724","±5,590","±5,408","±3,795","±5,387","±3,710","±4,896","±5,841",,"±4,017","±2,829","±4,620",,"±1,869"
"Congressional District 2 (116th Congress), Minnesota!!Percent!!Estimate",(X),,18.90%,26.10%,35.40%,19.70%,,48.90%,51.10%,,87.50%,4.00%,4.00%,N,N,1.50%,N,3.90%,85.30%,,1.30%,3.70%,22.80%,22.70%,11.70%,26.00%,11.80%,95.00%,37.80%,,(X),5.40%,94.60%,,(X)
"Congressional District 2 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.4,±0.3,,±0.3,±0.3,,±0.6,±0.5,±0.4,N,N,±0.5,N,±0.4,±0.7,,±0.3,±0.5,±1.1,±1.0,±0.7,±1.0,±0.7,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
"Congressional District 3 (116th Congress), Minnesota!!Total!!Estimate","528,462",,"86,071","132,999","193,977","115,415",,"252,533","275,929",,"444,646","32,674","31,384",N,N,"5,267",N,"14,187","436,227",,"8,069","16,345","99,066","105,851","50,391","167,782","80,958","504,048","248,740",,"525,290","24,952","500,338",,"98,267"
"Congressional District 3 (116th Congress), Minnesota!!Total!!Margin of Error","±6,347",,"±4,672","±5,204","±5,450","±3,795",,"±4,886","±4,306",,"±7,084","±4,215","±3,242",N,N,"±2,199",N,"±2,464","±7,080",,"±1,661","±2,008","±6,067","±5,450","±3,563","±5,756","±4,559","±5,983","±6,504",,"±6,251","±3,188","±6,667",,"±2,410"
"Congressional District 3 (116th Congress), Minnesota!!Percent!!Estimate",(X),,16.30%,25.20%,36.70%,21.80%,,47.80%,52.20%,,84.10%,6.20%,5.90%,N,N,1.00%,N,2.70%,82.50%,,1.50%,3.10%,18.70%,20.00%,9.50%,31.70%,15.30%,95.40%,47.10%,,(X),4.80%,95.20%,,(X)
"Congressional District 3 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.8,±1.0,±0.9,±0.7,,±0.6,±0.6,,±1.0,±0.8,±0.6,N,N,±0.4,N,±0.5,±1.0,,±0.3,±0.4,±1.1,±1.0,±0.7,±1.1,±0.8,±0.5,±1.1,,(X),±0.6,±0.6,,(X)
"Congressional District 4 (116th Congress), Minnesota!!Total!!Estimate","516,588",,"111,422","132,863","165,215","107,088",,"248,489","268,099",,"401,409","43,894","50,667",N,N,"4,412",N,"22,716","387,250",,"13,455","21,748","113,318","103,834","45,788","140,906","77,539","481,385","218,445",,"503,525","42,559","460,966",,"77,235"
"Congressional District 4 (116th Congress), Minnesota!!Total!!Margin of Error","±5,198",,"±2,978","±3,393","±2,598","±1,805",,"±3,295","±2,867",,"±3,140","±3,111","±2,341",N,N,"±1,396",N,"±2,121","±3,195",,"±1,920","±2,228","±5,443","±4,366","±3,286","±4,859","±3,867","±5,168","±5,630",,"±5,505","±4,616","±6,619",,"±2,254"
"Congressional District 4 (116th Congress), Minnesota!!Percent!!Estimate",(X),,21.60%,25.70%,32.00%,20.70%,,48.10%,51.90%,,77.70%,8.50%,9.80%,N,N,0.90%,N,4.40%,75.00%,,2.60%,4.20%,21.90%,20.10%,8.90%,27.30%,15.00%,93.20%,42.30%,,(X),8.50%,91.50%,,(X)
"Congressional District 4 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.7,±0.6,±0.4,N,N,±0.3,N,±0.4,±0.7,,±0.4,±0.4,±1.0,±0.8,±0.6,±1.0,±0.8,±0.6,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 5 (116th Congress), Minnesota!!Total!!Estimate","535,070",,"138,779","151,839","147,874","96,578",,"265,476","269,594",,"404,184","73,216","23,338",N,N,"11,794","17,839","29,379","390,027",,"13,075","20,463","95,556","111,480","43,571","167,169","83,756","501,532","250,925",,"520,883","62,285","458,598",,"70,032"
"Congressional District 5 (116th Congress), Minnesota!!Total!!Margin of Error","±8,947",,"±5,217","±5,875","±5,269","±3,454",,"±5,894","±4,806",,"±8,618","±5,387","±3,084",N,N,"±2,489","±2,652","±3,249","±7,829",,"±2,108","±2,451","±5,784","±5,628","±3,238","±7,118","±4,136","±9,380","±7,693",,"±9,071","±4,444","±9,164",,"±2,102"
"Congressional District 5 (116th Congress), Minnesota!!Percent!!Estimate",(X),,25.90%,28.40%,27.60%,18.00%,,49.60%,50.40%,,75.50%,13.70%,4.40%,N,N,2.20%,3.30%,5.50%,72.90%,,2.40%,3.80%,17.90%,20.80%,8.10%,31.20%,15.70%,93.70%,46.90%,,(X),12.00%,88.00%,,(X)
"Congressional District 5 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.8,±1.0,±0.9,±0.6,,±0.6,±0.6,,±1.0,±1.0,±0.6,N,N,±0.5,±0.5,±0.6,±1.0,,±0.4,±0.5,±1.0,±0.9,±0.6,±1.2,±0.8,±0.6,±1.3,,(X),±0.8,±0.8,,(X)
"Congressional District 6 (116th Congress), Minnesota!!Total!!Estimate","533,104",,"107,376","139,983","188,949","96,796",,"268,510","264,594",,"488,935","16,208","12,503",N,N,"4,997",N,"10,635","483,584",,"9,719","22,528","145,407","130,552","65,982","113,982","44,934","500,857","158,916",,"522,992","29,432","493,560",,"84,852"
"Congressional District 6 (116th Congress), Minnesota!!Total!!Margin of Error","±5,495",,"±3,502","±3,427","±3,443","±2,707",,"±3,462","±3,394",,"±5,400","±2,298","±1,888",N,N,"±1,477",N,"±1,554","±5,269",,"±2,165","±2,522","±5,612","±5,870","±3,290","±5,079","±2,882","±5,848","±5,940",,"±5,474","±3,383","±6,305",,"±2,191"
"Congressional District 6 (116th Congress), Minnesota!!Percent!!Estimate",(X),,20.10%,26.30%,35.40%,18.20%,,50.40%,49.60%,,91.70%,3.00%,2.30%,N,N,0.90%,N,2.00%,90.70%,,1.80%,4.20%,27.30%,24.50%,12.40%,21.40%,8.40%,94.00%,29.80%,,(X),5.60%,94.40%,,(X)
"Congressional District 6 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.5,±0.4,±0.4,N,N,±0.3,N,±0.3,±0.6,,±0.4,±0.5,±1.0,±1.0,±0.7,±0.9,±0.5,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
"Congressional District 7 (116th Congress), Minnesota!!Total!!Estimate","501,373",,"91,495","111,062","165,142","133,674",,"248,247","253,126",,"466,787","5,583","3,421",N,N,"3,880",N,"14,881","457,374",,"11,466","27,790","157,882","120,078","75,025","79,619","29,513","462,117","109,132",,"487,994","45,571","442,423",,"60,989"
"Congressional District 7 (116th Congress), Minnesota!!Total!!Margin of Error","±2,708",,"±2,150","±1,719","±1,578","±1,372",,"±1,884","±1,956",,"±2,130","±1,156",±558,N,N,"±1,087",N,"±1,196","±2,043",,"±1,242","±2,306","±4,068","±3,979","±2,721","±3,183","±1,831","±3,666","±3,776",,"±2,960","±3,035","±3,990",,±913
"Congressional District 7 (116th Congress), Minnesota!!Percent!!Estimate",(X),,18.20%,22.20%,32.90%,26.70%,,49.50%,50.50%,,93.10%,1.10%,0.70%,N,N,0.80%,N,3.00%,91.20%,,2.30%,5.50%,31.50%,23.90%,15.00%,15.90%,5.90%,92.20%,21.80%,,(X),9.30%,90.70%,,(X)
"Congressional District 7 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.4,±0.3,±0.3,±0.3,,±0.3,±0.3,,±0.3,±0.2,±0.1,N,N,±0.2,N,±0.2,±0.4,,±0.2,±0.5,±0.8,±0.7,±0.5,±0.6,±0.4,±0.5,±0.7,,(X),±0.6,±0.6,,(X)
"Congressional District 8 (116th Congress), Minnesota!!Total!!Estimate","527,314",,"89,418","114,914","181,209","141,773",,"264,847","262,467",,"496,123","5,080","3,476",N,N,"1,365",N,"6,414","491,796",,"7,882","28,800","167,631","134,527","65,742","82,203","40,529","490,632","122,732",,"512,547","53,359","459,188",,"61,750"
"Congressional District 8 (116th Congress), Minnesota!!Total!!Margin of Error","±1,557",,"±1,056","±1,217","±1,421",±826,,"±1,192","±1,269",,"±1,449",±741,±849,N,N,±560,N,±846,"±1,135",,"±1,028","±2,068","±4,392","±3,493","±2,818","±3,705","±2,286","±2,851","±4,329",,"±2,297","±3,407","±4,073",,"±1,100"
"Congressional District 8 (116th Congress), Minnesota!!Percent!!Estimate",(X),,17.00%,21.80%,34.40%,26.90%,,50.20%,49.80%,,94.10%,1.00%,0.70%,N,N,0.30%,N,1.20%,93.30%,,1.50%,5.50%,31.80%,25.50%,12.50%,15.60%,7.70%,93.00%,23.30%,,(X),10.40%,89.60%,,(X)
"Congressional District 8 (116th Congress), Minnesota!!Percent!!Margin of Error",(X),,±0.2,±0.2,±0.2,±0.2,,±0.2,±0.2,,±0.2,±0.1,±0.2,N,N,±0.1,N,±0.2,±0.2,,±0.2,±0.4,±0.8,±0.7,±0.5,±0.7,±0.4,±0.4,±0.8,,(X),±0.7,±0.7,,(X)
"Congressional District 1 (116th Congress), Mississippi!!Total!!Estimate","579,478",,"123,736","140,044","192,804","122,894",,"276,930","302,548",,"401,674","164,577","3,641",N,N,"3,097",N,"10,354","395,345",,"22,122","61,959","179,777","144,390","58,079","70,722","42,429","495,397","113,151",,"562,273","76,919","485,354",,"50,174"
"Congressional District 1 (116th Congress), Mississippi!!Total!!Margin of Error","±4,003",,"±2,025","±3,999","±4,276","±2,295",,"±2,494","±2,587",,"±2,736","±3,734","±1,130",N,N,"±1,181",N,"±1,229","±2,134",,"±2,888","±3,957","±7,004","±7,735","±4,477","±4,256","±3,712","±5,282","±6,229",,"±4,577","±5,563","±6,320",,"±1,978"
"Congressional District 1 (116th Congress), Mississippi!!Percent!!Estimate",(X),,21.40%,24.20%,33.30%,21.20%,,47.80%,52.20%,,69.30%,28.40%,0.60%,N,N,0.50%,N,1.80%,68.20%,,3.80%,10.70%,31.00%,24.90%,10.00%,12.20%,7.30%,85.50%,19.50%,,(X),13.70%,86.30%,,(X)
"Congressional District 1 (116th Congress), Mississippi!!Percent!!Margin of Error",(X),,±0.3,±0.6,±0.7,±0.4,,±0.3,±0.3,,±0.4,±0.5,±0.2,N,N,±0.2,N,±0.2,±0.4,,±0.5,±0.7,±1.2,±1.3,±0.8,±0.7,±0.6,±0.8,±1.1,,(X),±1.0,±1.0,,(X)
"Congressional District 2 (116th Congress), Mississippi!!Total!!Estimate","519,040",,"114,635","128,811","164,116","111,478",,"245,667","273,373",,"168,815","341,267","1,647",N,N,N,N,"6,814","165,865",,"25,907","65,176","163,417","132,227","44,434","54,637","33,242","427,957","87,879",,"492,333","103,977","388,356",,"37,428"
"Congressional District 2 (116th Congress), Mississippi!!Total!!Margin of Error","±6,247",,"±3,146","±4,191","±4,689","±2,769",,"±3,444","±3,662",,"±4,878","±5,441",±704,N,N,N,N,"±2,079","±4,428",,"±2,665","±4,290","±6,773","±6,349","±3,673","±3,779","±3,756","±6,309","±5,304",,"±6,422","±6,168","±7,874",,"±1,642"
"Congressional District 2 (116th Congress), Mississippi!!Percent!!Estimate",(X),,22.10%,24.80%,31.60%,21.50%,,47.30%,52.70%,,32.50%,65.70%,0.30%,N,N,N,N,1.30%,32.00%,,5.00%,12.60%,31.50%,25.50%,8.60%,10.50%,6.40%,82.50%,16.90%,,(X),21.10%,78.90%,,(X)
"Congressional District 2 (116th Congress), Mississippi!!Percent!!Margin of Error",(X),,±0.6,±0.8,±0.8,±0.5,,±0.3,±0.3,,±0.8,±0.8,±0.1,N,N,N,N,±0.4,±0.7,,±0.5,±0.8,±1.3,±1.2,±0.7,±0.7,±0.7,±0.8,±1.0,,(X),±1.2,±1.2,,(X)
"Congressional District 3 (116th Congress), Mississippi!!Total!!Estimate","560,442",,"119,089","135,056","182,446","123,851",,"264,922","295,520",,"351,971",N,"4,088",N,N,"3,222",N,"8,125","347,321",,"21,815","56,801","152,472","135,257","58,742","84,280","51,075","481,826","135,355",,"539,999","91,073","448,926",,"49,789"
"Congressional District 3 (116th Congress), Mississippi!!Total!!Margin of Error","±6,395",,"±3,184","±5,074","±5,235","±2,957",,"±3,772","±4,069",,"±4,688",N,"±1,515",N,N,"±1,466",N,"±2,032","±4,587",,"±2,461","±4,560","±7,895","±7,514","±4,062","±5,758","±4,081","±7,543","±7,907",,"±6,305","±7,576","±8,770",,"±1,932"
"Congressional District 3 (116th Congress), Mississippi!!Percent!!Estimate",(X),,21.20%,24.10%,32.60%,22.10%,,47.30%,52.70%,,62.80%,N,0.70%,N,N,0.60%,N,1.40%,62.00%,,3.90%,10.10%,27.20%,24.10%,10.50%,15.00%,9.10%,86.00%,24.20%,,(X),16.90%,83.10%,,(X)
"Congressional District 3 (116th Congress), Mississippi!!Percent!!Margin of Error",(X),,±0.5,±0.9,±0.9,±0.4,,±0.4,±0.4,,±0.7,N,±0.3,N,N,±0.3,N,±0.4,±0.7,,±0.4,±0.8,±1.4,±1.3,±0.7,±1.0,±0.7,±0.9,±1.4,,(X),±1.4,±1.4,,(X)
"Congressional District 4 (116th Congress), Mississippi!!Total!!Estimate","587,363",,"122,390","140,580","197,555","126,838",,"279,686","307,677",,"432,127",N,"6,506",N,N,N,N,"17,585","418,651",,"18,795","51,319","180,323","150,321","68,317","76,624","41,664","517,249","118,288",,"568,189","92,983","475,206",,"47,499"
"Congressional District 4 (116th Congress), Mississippi!!Total!!Margin of Error","±2,982",,"±2,548","±3,786","±3,767","±2,419",,"±2,338","±2,382",,"±3,347",N,"±1,237",N,N,N,N,"±2,151","±2,439",,"±2,198","±4,514","±7,870","±7,019","±5,308","±5,491","±4,191","±5,630","±6,709",,"±3,674","±7,243","±7,901",,"±1,950"
"Congressional District 4 (116th Congress), Mississippi!!Percent!!Estimate",(X),,20.80%,23.90%,33.60%,21.60%,,47.60%,52.40%,,73.60%,N,1.10%,N,N,N,N,3.00%,71.30%,,3.20%,8.70%,30.70%,25.60%,11.60%,13.00%,7.10%,88.10%,20.10%,,(X),16.40%,83.60%,,(X)
"Congressional District 4 (116th Congress), Mississippi!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.6,±0.4,,±0.3,±0.3,,±0.5,N,±0.2,N,N,N,N,±0.4,±0.4,,±0.4,±0.8,±1.3,±1.2,±0.9,±0.9,±0.7,±0.8,±1.2,,(X),±1.3,±1.3,,(X)
"Congressional District 1 (116th Congress), Missouri!!Total!!Estimate","547,921",,"131,335","141,110","170,207","105,269",,"252,790","295,131",,"256,956","258,055","12,620",N,N,"7,224","11,654","14,818","250,054",,"10,541","40,210","157,227","137,079","36,652","95,537","70,675","497,170","166,212",,"532,907","76,423","456,484",,"50,233"
"Congressional District 1 (116th Congress), Missouri!!Total!!Margin of Error","±8,318",,"±4,682","±4,527","±3,817","±3,177",,"±4,952","±5,466",,"±6,964","±5,376","±2,427",N,N,"±2,313","±2,673","±2,240","±6,832",,"±1,718","±3,869","±7,453","±7,529","±4,225","±5,433","±4,103","±9,856","±6,559",,"±8,466","±6,162","±9,285",,"±1,318"
"Congressional District 1 (116th Congress), Missouri!!Percent!!Estimate",(X),,24.00%,25.80%,31.10%,19.20%,,46.10%,53.90%,,46.90%,47.10%,2.30%,N,N,1.30%,2.10%,2.70%,45.60%,,1.90%,7.30%,28.70%,25.00%,6.70%,17.40%,12.90%,90.70%,30.30%,,(X),14.30%,85.70%,,(X)
"Congressional District 1 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.7,±0.7,±0.6,±0.6,,±0.6,±0.6,,±0.9,±1.0,±0.4,N,N,±0.4,±0.5,±0.4,±0.9,,±0.3,±0.7,±1.2,±1.3,±0.8,±0.9,±0.7,±0.8,±1.1,,(X),±1.1,±1.1,,(X)
"Congressional District 2 (116th Congress), Missouri!!Total!!Estimate","576,008",,"92,246","127,568","206,489","149,705",,"272,062","303,946",,"526,396",N,"16,731",N,N,N,N,"10,682","517,263",,"6,984","21,590","113,408","111,709","40,941","166,888","114,488","547,434","281,376",,"566,542","27,707","538,835",,"88,086"
"Congressional District 2 (116th Congress), Missouri!!Total!!Margin of Error","±10,272",,"±5,380","±5,154","±4,916","±3,655",,"±5,968","±6,359",,"±9,647",N,"±2,228",N,N,N,N,"±1,907","±9,493",,"±1,394","±2,943","±6,070","±6,107","±3,631","±6,201","±3,674","±9,786","±7,234",,"±10,294","±4,640","±10,008",,"±2,168"
"Congressional District 2 (116th Congress), Missouri!!Percent!!Estimate",(X),,16.00%,22.10%,35.80%,26.00%,,47.20%,52.80%,,91.40%,N,2.90%,N,N,N,N,1.90%,89.80%,,1.20%,3.70%,19.70%,19.40%,7.10%,29.00%,19.90%,95.00%,48.80%,,(X),4.90%,95.10%,,(X)
"Congressional District 2 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.8,±0.8,±0.7,±0.7,,±0.6,±0.6,,±0.8,N,±0.4,N,N,N,N,±0.3,±0.9,,±0.2,±0.5,±1.0,±1.0,±0.6,±1.0,±0.6,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
"Congressional District 3 (116th Congress), Missouri!!Total!!Estimate","608,065",,"109,110","154,862","210,350","133,743",,"302,593","305,472",,"569,345","21,261","5,691",N,N,"1,791",N,"11,754","560,714",,"13,539","39,333","189,358","143,067","60,718","109,438","52,612","555,193","162,050",,"589,784","43,039","546,745",,"70,014"
"Congressional District 3 (116th Congress), Missouri!!Total!!Margin of Error","±6,446",,"±3,270","±3,823","±4,612","±2,873",,"±3,794","±3,828",,"±6,273","±2,403","±1,135",N,N,±674,N,"±1,579","±6,194",,"±2,175","±3,679","±6,682","±5,918","±4,780","±5,435","±4,146","±7,576","±6,367",,"±6,759","±3,894","±6,461",,"±1,957"
"Congressional District 3 (116th Congress), Missouri!!Percent!!Estimate",(X),,17.90%,25.50%,34.60%,22.00%,,49.80%,50.20%,,93.60%,3.50%,0.90%,N,N,0.30%,N,1.90%,92.20%,,2.20%,6.50%,31.10%,23.50%,10.00%,18.00%,8.70%,91.30%,26.70%,,(X),7.30%,92.70%,,(X)
"Congressional District 3 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.6,±0.5,,±0.3,±0.3,,±0.5,±0.4,±0.2,N,N,±0.1,N,±0.3,±0.5,,±0.4,±0.6,±1.0,±0.9,±0.8,±0.9,±0.7,±0.8,±1.1,,(X),±0.6,±0.6,,(X)
"Congressional District 4 (116th Congress), Missouri!!Total!!Estimate","590,595",,"142,332","134,719","183,266","130,278",,"290,543","300,052",,"537,849","26,548","6,435",N,N,"2,081",N,"17,367","524,450",,"18,168","38,378","203,779","152,789","44,561","82,110","50,810","534,049","132,920",,"558,657","75,635","483,022",,"52,941"
"Congressional District 4 (116th Congress), Missouri!!Total!!Margin of Error","±3,858",,"±2,433","±3,048","±3,224","±1,845",,"±2,780","±2,805",,"±3,486","±2,186","±1,486",N,N,±802,N,"±1,178","±3,159",,"±2,228","±3,587","±6,587","±6,862","±3,545","±4,443","±3,950","±5,291","±5,591",,"±4,529","±5,508","±7,389",,"±1,739"
"Congressional District 4 (116th Congress), Missouri!!Percent!!Estimate",(X),,24.10%,22.80%,31.00%,22.10%,,49.20%,50.80%,,91.10%,4.50%,1.10%,N,N,0.40%,N,2.90%,88.80%,,3.10%,6.50%,34.50%,25.90%,7.50%,13.90%,8.60%,90.40%,22.50%,,(X),13.50%,86.50%,,(X)
"Congressional District 4 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.5,±0.3,,±0.3,±0.3,,±0.4,±0.4,±0.2,N,N,±0.1,N,±0.2,±0.4,,±0.4,±0.6,±1.1,±1.2,±0.6,±0.7,±0.7,±0.7,±0.9,,(X),±1.0,±1.0,,(X)
"Congressional District 5 (116th Congress), Missouri!!Total!!Estimate","579,431",,"125,238","145,570","187,217","121,406",,"277,850","301,581",,"422,050","117,957","7,563",N,N,"12,838",N,"33,495","402,433",,"11,653","37,091","190,039","136,960","42,054","106,501","55,133","530,687","161,634",,"569,691","66,500","503,191",,"55,859"
"Congressional District 5 (116th Congress), Missouri!!Total!!Margin of Error","±6,225",,"±2,855","±3,103","±3,437","±2,336",,"±4,075","±3,676",,"±5,486","±3,156","±1,128",N,N,"±2,626",N,"±2,804","±4,915",,"±2,151","±3,850","±8,133","±6,247","±3,877","±5,377","±3,607","±7,377","±5,749",,"±6,359","±5,191","±6,978",,"±1,570"
"Congressional District 5 (116th Congress), Missouri!!Percent!!Estimate",(X),,21.60%,25.10%,32.30%,21.00%,,48.00%,52.00%,,72.80%,20.40%,1.30%,N,N,2.20%,N,5.80%,69.50%,,2.00%,6.40%,32.80%,23.60%,7.30%,18.40%,9.50%,91.60%,27.90%,,(X),11.70%,88.30%,,(X)
"Congressional District 5 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.6,±0.2,N,N,±0.4,N,±0.5,±0.6,,±0.4,±0.7,±1.3,±1.1,±0.7,±0.9,±0.7,±0.8,±1.0,,(X),±0.9,±0.9,,(X)
"Congressional District 6 (116th Congress), Missouri!!Total!!Estimate","586,958",,"113,140","143,774","198,977","131,067",,"285,831","301,127",,"536,541","25,841","6,607",N,N,N,N,"17,230","525,096",,"15,171","33,691","206,464","129,947","45,756","103,070","52,859","538,096","155,929",,"563,054","56,798","506,256",,"62,294"
"Congressional District 6 (116th Congress), Missouri!!Total!!Margin of Error","±5,534",,"±2,749","±3,596","±3,465","±2,335",,"±3,943","±3,617",,"±5,379","±2,557","±1,406",N,N,N,N,"±2,013","±4,958",,"±1,962","±2,477","±5,925","±5,043","±3,064","±5,639","±3,172","±6,603","±6,893",,"±6,207","±4,398","±7,639",,"±1,915"
"Congressional District 6 (116th Congress), Missouri!!Percent!!Estimate",(X),,19.30%,24.50%,33.90%,22.30%,,48.70%,51.30%,,91.40%,4.40%,1.10%,N,N,N,N,2.90%,89.50%,,2.60%,5.70%,35.20%,22.10%,7.80%,17.60%,9.00%,91.70%,26.60%,,(X),10.10%,89.90%,,(X)
"Congressional District 6 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.4,±0.2,N,N,N,N,±0.3,±0.5,,±0.3,±0.4,±0.9,±0.9,±0.5,±0.9,±0.5,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
"Congressional District 7 (116th Congress), Missouri!!Total!!Estimate","594,430",,"128,597","138,151","187,966","139,716",,"287,120","307,310",,"555,129",N,"6,569",N,N,"4,541",N,"17,723","543,731",,"17,166","45,537","193,609","156,054","44,411","93,339","44,314","531,727","137,653",,"577,439","83,525","493,914",,"48,495"
"Congressional District 7 (116th Congress), Missouri!!Total!!Margin of Error","±3,177",,"±1,820","±2,577","±2,447","±1,714",,"±2,408","±2,020",,"±2,681",N,"±1,257",N,N,"±1,410",N,"±1,487","±2,263",,"±2,245","±3,942","±7,136","±7,485","±4,250","±5,483","±3,413","±5,431","±6,834",,"±3,957","±5,471","±6,222",,"±2,127"
"Congressional District 7 (116th Congress), Missouri!!Percent!!Estimate",(X),,21.60%,23.20%,31.60%,23.50%,,48.30%,51.70%,,93.40%,N,1.10%,N,N,0.80%,N,3.00%,91.50%,,2.90%,7.70%,32.60%,26.30%,7.50%,15.70%,7.50%,89.50%,23.20%,,(X),14.50%,85.50%,,(X)
"Congressional District 7 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.3,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.4,N,±0.2,N,N,±0.2,N,±0.2,±0.4,,±0.4,±0.7,±1.2,±1.3,±0.7,±0.9,±0.6,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
"Congressional District 8 (116th Congress), Missouri!!Total!!Estimate","566,910",,"105,003","129,238","193,212","139,457",,"280,110","286,800",,"527,704",N,"3,577",N,N,N,N,"7,360","521,598",,"22,950","58,146","223,938","125,486","44,507","56,978","34,905","485,814","91,883",,"544,299","87,590","456,709",,"45,755"
"Congressional District 8 (116th Congress), Missouri!!Total!!Margin of Error","±3,988",,"±2,414","±2,645","±2,915","±1,879",,"±2,635","±2,538",,"±3,720",N,"±1,046",N,N,N,N,"±1,399","±3,598",,"±2,370","±4,301","±5,917","±5,661","±3,861","±3,644","±3,433","±6,193","±5,111",,"±4,508","±6,078","±6,662",,"±1,235"
