Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
4813_!!Total!!Estimate,495640,,105910,122992,155144,111594,,252023,243617,,434086,27795,6624,N,N,10966,N,102405,348849,,17820,39575,170925,127607,40333,69828,29552,438245,99380,,466442,52969,413473,,54688
4813_!!Total!!Margin of Error,±5500,,±2908,±3495,±3414,±2079,,±3333,±3370,,±5614,±1828,±1494,N,N,±2179,N,±3833,±2864,,±2200,±3764,±5582,±5364,±3213,±3791,±2726,±5919,±4596,,±6631,±4328,±6913,,±1609
4813_!!Percent!!Estimate,(X),,21.40%,24.80%,31.30%,22.50%,,50.80%,49.20%,,87.60%,5.60%,1.30%,N,N,2.20%,N,20.70%,70.40%,,3.60%,8.00%,34.50%,25.70%,8.10%,14.10%,6.00%,88.40%,20.10%,,(X),11.40%,88.60%,,(X)
4813_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.6,±0.4,,±0.4,±0.4,,±0.6,±0.4,±0.3,N,N,±0.4,N,±0.6,±0.6,,±0.4,±0.7,±1.1,±1.0,±0.6,±0.7,±0.5,±0.7,±0.9,,(X),±0.9,±0.9,,(X)
4814_!!Total!!Estimate,532061,,113916,131158,181224,105763,,266890,265171,,394442,107296,13261,N,N,6850,8298,102886,301275,,17308,34468,160803,145329,48140,85904,40109,480285,126013,,502417,48532,453885,,68213
4814_!!Total!!Margin of Error,±6924,,±3645,±4271,±3996,±2369,,±4938,±4286,,±5910,±4270,±1963,N,N,±1757,±2482,±4511,±4419,,±2793,±2785,±6773,±6179,±3681,±5730,±3955,±7053,±7313,,±7764,±4321,±9058,,±3226
4814_!!Percent!!Estimate,(X),,21.40%,24.70%,34.10%,19.90%,,50.20%,49.80%,,74.10%,20.20%,2.50%,N,N,1.30%,1.60%,19.30%,56.60%,,3.30%,6.50%,30.20%,27.30%,9.00%,16.10%,7.50%,90.30%,23.70%,,(X),9.70%,90.30%,,(X)
4814_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.6,±0.4,,±0.6,±0.6,,±0.7,±0.7,±0.4,N,N,±0.3,±0.5,±0.7,±0.8,,±0.5,±0.5,±1.3,±1.1,±0.7,±1.0,±0.7,±0.7,±1.3,,(X),±0.9,±0.9,,(X)
4815_!!Total!!Estimate,450561,,127451,120585,124116,78409,,225052,225509,,386924,11508,4984,N,N,37097,8908,340375,89231,,32700,52259,128444,114163,29677,64257,29061,365602,93318,,437907,59408,378499,,55520
4815_!!Total!!Margin of Error,±10193,,±5281,±5750,±5864,±3852,,±7157,±5752,,±9509,±1560,±1345,N,N,±6101,±2285,±9102,±3449,,±3345,±6080,±7848,±7199,±3500,±5359,±2859,±11663,±6215,,±10143,±6951,±11632,,±3198
4815_!!Percent!!Estimate,(X),,28.30%,26.80%,27.50%,17.40%,,49.90%,50.10%,,85.90%,2.60%,1.10%,N,N,8.20%,2.00%,75.50%,19.80%,,7.30%,11.60%,28.50%,25.30%,6.60%,14.30%,6.40%,81.10%,20.70%,,(X),13.60%,86.40%,,(X)
4815_!!Percent!!Margin of Error,(X),,±0.9,±1.1,±1.1,±0.8,,±0.9,±0.9,,±1.4,±0.3,±0.3,N,N,±1.3,±0.5,±0.8,±0.7,,±0.7,±1.3,±1.5,±1.5,±0.8,±1.1,±0.7,±1.6,±1.3,,(X),±1.6,±1.6,,(X)
4816_!!Total!!Estimate,476360,,137994,124912,135371,78083,,238976,237384,,382427,19879,6114,N,N,52016,12189,370410,74817,,28190,33153,132025,125731,47435,77615,32211,415017,109826,,465293,66212,399081,,51875
4816_!!Total!!Margin of Error,±7173,,±3862,±4632,±4288,±2757,,±4781,±4252,,±10769,±1784,±991,N,N,±7895,±2226,±7080,±1708,,±2972,±3980,±8603,±6967,±3929,±6027,±3826,±8401,±7418,,±7168,±6124,±8885,,±1806
4816_!!Percent!!Estimate,(X),,29.00%,26.20%,28.40%,16.40%,,50.20%,49.80%,,80.30%,4.20%,1.30%,N,N,10.90%,2.60%,77.80%,15.70%,,5.90%,7.00%,27.70%,26.40%,10.00%,16.30%,6.80%,87.10%,23.10%,,(X),14.20%,85.80%,,(X)
4816_!!Percent!!Margin of Error,(X),,±0.7,±0.9,±0.8,±0.5,,±0.6,±0.6,,±1.8,±0.4,±0.2,N,N,±1.7,±0.5,±0.5,±0.4,,±0.6,±0.8,±1.7,±1.4,±0.8,±1.3,±0.8,±1.0,±1.6,,(X),±1.3,±1.3,,(X)
4817_!!Total!!Estimate,558009,,171305,129048,161667,95989,,274324,283685,,438984,78698,15667,N,N,8577,12901,113508,339392,,15730,39020,148631,155408,44723,101841,52656,503259,154497,,530310,83743,446567,,60121
4817_!!Total!!Margin of Error,±9896,,±5217,±5982,±5677,±2980,,±6044,±5701,,±8136,±5299,±2518,N,N,±2146,±3170,±7327,±5590,,±2561,±4668,±6987,±6542,±3734,±4862,±4241,±9756,±5856,,±10553,±6160,±11274,,±1884
4817_!!Percent!!Estimate,(X),,30.70%,23.10%,29.00%,17.20%,,49.20%,50.80%,,78.70%,14.10%,2.80%,N,N,1.50%,2.30%,20.30%,60.80%,,2.80%,7.00%,26.60%,27.90%,8.00%,18.30%,9.40%,90.20%,27.70%,,(X),15.80%,84.20%,,(X)
4817_!!Percent!!Margin of Error,(X),,±0.7,±1.0,±0.8,±0.5,,±0.6,±0.6,,±0.9,±0.9,±0.5,N,N,±0.4,±0.6,±1.1,±1.0,,±0.5,±0.8,±1.2,±1.0,±0.7,±0.9,±0.7,±0.9,±1.0,,(X),±1.2,±1.2,,(X)
4818_!!Total!!Estimate,489098,,137166,130346,146058,75528,,238628,250470,,214580,207928,21047,N,N,30092,12773,140801,109965,,21432,43901,151635,120045,37175,74182,40728,423765,114910,,471004,72255,398749,,50947
4818_!!Total!!Margin of Error,±17036,,±9457,±9305,±7184,±4161,,±10111,±9984,,±11897,±10668,±4172,N,N,±5089,±3988,±11205,±7722,,±3605,±4739,±9543,±9141,±4068,±5563,±3781,±15439,±6913,,±17000,±6898,±16593,,±1989
4818_!!Percent!!Estimate,(X),,28.00%,26.70%,29.90%,15.40%,,48.80%,51.20%,,43.90%,42.50%,4.30%,N,N,6.20%,2.60%,28.80%,22.50%,,4.40%,9.00%,31.00%,24.50%,7.60%,15.20%,8.30%,86.60%,23.50%,,(X),15.30%,84.70%,,(X)
4818_!!Percent!!Margin of Error,(X),,±1.6,±1.5,±1.2,±0.8,,±1.1,±1.1,,±1.7,±1.7,±0.8,N,N,±1.0,±0.8,±1.8,±1.5,,±0.7,±0.9,±1.5,±1.6,±0.8,±1.1,±0.8,±1.0,±1.4,,(X),±1.4,±1.4,,(X)
4819_!!Total!!Estimate,516199,,142072,125664,145516,102947,,256969,259230,,441968,31102,4942,N,N,24070,N,165753,307143,,29085,41101,158219,141611,35959,75251,34973,446013,110224,,484691,68475,416216,,56142
4819_!!Total!!Margin of Error,±5939,,±3194,±4334,±3579,±2455,,±3931,±2978,,±6207,±2473,±973,N,N,±3906,N,±4391,±3276,,±3264,±3479,±6737,±6519,±4065,±3689,±2516,±7530,±4361,,±6574,±5158,±6974,,±1503
4819_!!Percent!!Estimate,(X),,27.50%,24.30%,28.20%,19.90%,,49.80%,50.20%,,85.60%,6.00%,1.00%,N,N,4.70%,N,32.10%,59.50%,,5.60%,8.00%,30.70%,27.40%,7.00%,14.60%,6.80%,86.40%,21.40%,,(X),14.10%,85.90%,,(X)
4819_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.7,±0.4,,±0.4,±0.4,,±0.9,±0.5,±0.2,N,N,±0.7,N,±0.6,±0.6,,±0.6,±0.7,±1.3,±1.2,±0.8,±0.7,±0.5,±0.9,±0.8,,(X),±1.0,±1.0,,(X)
4820_!!Total!!Estimate,547526,,155266,148345,154546,89369,,266163,281363,,439251,29825,12596,N,N,39459,19371,358789,137822,,26915,46628,154264,150854,47966,79510,41389,473983,120899,,535873,70152,465721,,57547
4820_!!Total!!Margin of Error,±16919,,±8655,±7877,±6167,±4375,,±9928,±10452,,±15982,±3711,±2150,N,N,±7187,±4060,±14928,±6714,,±3442,±6342,±9364,±7923,±5032,±5835,±3260,±15314,±6162,,±16739,±7849,±16349,,±2440
4820_!!Percent!!Estimate,(X),,28.40%,27.10%,28.20%,16.30%,,48.60%,51.40%,,80.20%,5.40%,2.30%,N,N,7.20%,3.50%,65.50%,25.20%,,4.90%,8.50%,28.20%,27.60%,8.80%,14.50%,7.60%,86.60%,22.10%,,(X),13.10%,86.90%,,(X)
4820_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±0.9,±0.8,,±1.0,±1.0,,±1.5,±0.7,±0.4,N,N,±1.3,±0.7,±1.4,±1.1,,±0.6,±1.1,±1.4,±1.2,±0.9,±1.0,±0.6,±1.3,±1.1,,(X),±1.4,±1.4,,(X)
4821_!!Total!!Estimate,628280,,138764,156048,194031,139437,,303448,324832,,547033,26814,17266,N,N,14816,16630,163505,407798,,11035,23357,123963,147784,46584,179343,96214,593888,275557,,615106,52470,562636,,75144
4821_!!Total!!Margin of Error,±15176,,±7978,±8236,±8519,±4403,,±8988,±8649,,±14234,±4362,±3416,N,N,±2132,±2855,±8791,±11139,,±2961,±3448,±8357,±9143,±5063,±9148,±6181,±14997,±11704,,±14650,±6522,±14487,,±3248
4821_!!Percent!!Estimate,(X),,22.10%,24.80%,30.90%,22.20%,,48.30%,51.70%,,87.10%,4.30%,2.70%,N,N,2.40%,2.60%,26.00%,64.90%,,1.80%,3.70%,19.70%,23.50%,7.40%,28.50%,15.30%,94.50%,43.90%,,(X),8.50%,91.50%,,(X)
4821_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±1.1,±0.8,,±0.7,±0.7,,±1.0,±0.7,±0.5,N,N,±0.3,±0.4,±1.1,±1.2,,±0.5,±0.5,±1.3,±1.3,±0.7,±1.3,±0.9,±0.7,±1.6,,(X),±1.0,±1.0,,(X)
4822_!!Total!!Estimate,610720,,120780,175112,214571,100257,,294429,316291,,385314,97102,95993,N,N,15225,13666,141207,266408,,15430,27982,115254,144978,52798,161064,93214,567308,254278,,605410,28763,576647,,102488
4822_!!Total!!Margin of Error,±13575,,±6433,±6933,±7186,±4506,,±8034,±8250,,±10666,±8110,±6454,N,N,±4313,±3560,±9502,±6834,,±2813,±3517,±8716,±7687,±5165,±9128,±7900,±13876,±11518,,±13592,±5181,±13707,,±3450
4822_!!Percent!!Estimate,(X),,19.80%,28.70%,35.10%,16.40%,,48.20%,51.80%,,63.10%,15.90%,15.70%,N,N,2.50%,2.20%,23.10%,43.60%,,2.50%,4.60%,18.90%,23.70%,8.60%,26.40%,15.30%,92.90%,41.60%,,(X),4.80%,95.20%,,(X)
4822_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±1.0,±0.7,,±0.7,±0.7,,±1.3,±1.2,±1.0,N,N,±0.7,±0.6,±1.4,±1.1,,±0.5,±0.6,±1.3,±1.1,±0.8,±1.5,±1.2,±0.8,±1.8,,(X),±0.8,±0.8,,(X)
4823_!!Total!!Estimate,510863,,117094,152788,149131,91850,,258128,252735,,433597,20192,8865,N,N,30578,N,324901,149118,,32558,52671,152125,114922,39445,81574,37568,425634,119142,,497145,55729,441416,,61835
4823_!!Total!!Margin of Error,±14368,,±6431,±8041,±7060,±5049,,±8852,±9001,,±12324,±4120,±2211,N,N,±7112,N,±11980,±6804,,±3199,±6036,±10387,±6489,±4289,±5671,±3455,±12554,±6966,,±14309,±5078,±14609,,±2320
4823_!!Percent!!Estimate,(X),,22.90%,29.90%,29.20%,18.00%,,50.50%,49.50%,,84.90%,4.00%,1.70%,N,N,6.00%,N,63.60%,29.20%,,6.40%,10.30%,29.80%,22.50%,7.70%,16.00%,7.40%,83.30%,23.30%,,(X),11.20%,88.80%,,(X)
4823_!!Percent!!Margin of Error,(X),,±1.0,±1.3,±1.2,±0.9,,±1.0,±1.0,,±1.5,±0.8,±0.4,N,N,±1.3,N,±1.3,±1.3,,±0.6,±1.1,±1.8,±1.2,±0.8,±1.1,±0.7,±1.3,±1.4,,(X),±1.0,±1.0,,(X)
4824_!!Total!!Estimate,529495,,125872,142013,177998,83612,,259035,270460,,367316,73110,55062,N,N,12680,16275,82066,302614,,6994,20292,97914,120898,39755,166967,76675,502209,243642,,526658,27852,498806,,81883
4824_!!Total!!Margin of Error,±10243,,±6748,±6983,±6978,±5054,,±7865,±6963,,±10584,±8011,±5582,N,N,±3081,±2926,±7451,±10448,,±1699,±2777,±6335,±6449,±3905,±7137,±5418,±9967,±8483,,±10293,±4497,±11160,,±2021
4824_!!Percent!!Estimate,(X),,23.80%,26.80%,33.60%,15.80%,,48.90%,51.10%,,69.40%,13.80%,10.40%,N,N,2.40%,3.10%,15.50%,57.20%,,1.30%,3.80%,18.50%,22.80%,7.50%,31.50%,14.50%,94.80%,46.00%,,(X),5.30%,94.70%,,(X)
4824_!!Percent!!Margin of Error,(X),,±1.1,±1.2,±1.2,±0.9,,±1.0,±1.0,,±1.8,±1.5,±1.0,N,N,±0.6,±0.5,±1.4,±1.8,,±0.3,±0.5,±1.2,±1.2,±0.7,±1.2,±1.0,±0.6,±1.3,,(X),±0.9,±0.9,,(X)
4825_!!Total!!Estimate,596070,,119509,160568,202756,113237,,297233,298837,,504297,46000,16308,N,N,8930,N,88335,434395,,13146,34366,152158,138667,39098,143032,75603,548558,218635,,562521,48104,514417,,79989
4825_!!Total!!Margin of Error,±11921,,±7204,±7091,±7710,±4193,,±6711,±7734,,±9479,±4603,±2573,N,N,±2170,N,±5926,±8213,,±2115,±3249,±6720,±7159,±4003,±8373,±5308,±11828,±9700,,±12088,±6044,±12182,,±3202
4825_!!Percent!!Estimate,(X),,20.00%,26.90%,34.00%,19.00%,,49.90%,50.10%,,84.60%,7.70%,2.70%,N,N,1.50%,N,14.80%,72.90%,,2.20%,5.80%,25.50%,23.30%,6.60%,24.00%,12.70%,92.00%,36.70%,,(X),8.60%,91.40%,,(X)
4825_!!Percent!!Margin of Error,(X),,±1.0,±1.0,±1.1,±0.7,,±0.7,±0.7,,±0.8,±0.7,±0.4,N,N,±0.4,N,±0.9,±1.0,,±0.4,±0.5,±1.1,±1.1,±0.7,±1.3,±0.8,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
4826_!!Total!!Estimate,625355,,127737,177510,224792,95316,,298488,326867,,497619,59875,34666,N,N,13761,15378,89338,427373,,9205,27520,118934,160092,46582,179914,83108,588630,263022,,615471,36444,579027,,98616
4826_!!Total!!Margin of Error,±9589,,±4565,±6019,±6512,±2746,,±7086,±5824,,±8330,±5614,±4283,N,N,±3753,±2870,±7159,±6025,,±2053,±4151,±7720,±7704,±4354,±7639,±4795,±10387,±8945,,±9982,±5102,±10668,,±3130
4826_!!Percent!!Estimate,(X),,20.40%,28.40%,35.90%,15.20%,,47.70%,52.30%,,79.60%,9.60%,5.50%,N,N,2.20%,2.50%,14.30%,68.30%,,1.50%,4.40%,19.00%,25.60%,7.40%,28.80%,13.30%,94.10%,42.10%,,(X),5.90%,94.10%,,(X)
4826_!!Percent!!Margin of Error,(X),,±0.6,±0.8,±0.8,±0.5,,±0.7,±0.7,,±1.1,±0.9,±0.7,N,N,±0.6,±0.4,±1.0,±1.1,,±0.3,±0.7,±1.2,±1.2,±0.7,±1.1,±0.8,±0.7,±1.3,,(X),±0.8,±0.8,,(X)
4827_!!Total!!Estimate,523961,,112856,128304,161690,121111,,253968,269993,,457594,N,5366,N,N,22207,N,252194,231815,,25811,48558,179287,133884,40474,65102,30845,449592,95947,,511468,70379,441089,,57286
4827_!!Total!!Margin of Error,±5543,,±3536,±3995,±3854,±2992,,±4542,±2697,,±5827,N,±1009,N,N,±3768,N,±5222,±3929,,±3001,±3894,±6935,±6102,±3058,±3765,±2846,±6170,±4947,,±6109,±5945,±7157,,±2194
4827_!!Percent!!Estimate,(X),,21.50%,24.50%,30.90%,23.10%,,48.50%,51.50%,,87.30%,N,1.00%,N,N,4.20%,N,48.10%,44.20%,,4.90%,9.30%,34.20%,25.60%,7.70%,12.40%,5.90%,85.80%,18.30%,,(X),13.80%,86.20%,,(X)
4827_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.7,±0.6,,±0.5,±0.5,,±0.8,N,±0.2,N,N,±0.7,N,±0.8,±0.7,,±0.6,±0.7,±1.3,±1.1,±0.6,±0.7,±0.5,±0.9,±0.9,,(X),±1.1,±1.1,,(X)
