Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
0647_!!Total!!Estimate,483829,,106119,124490,154489,98731,,237894,245935,,268769,38368,113832,N,N,42833,15506,131257,185066,,26695,31431,101707,125244,34109,114594,50049,425703,164643,,477614,50077,427537,,76345
0647_!!Total!!Margin of Error,±12800,,±6026,±7544,±6893,±5890,,±7846,±7556,,±9587,±4379,±7437,N,N,±5367,±2439,±8497,±8179,,±3442,±3123,±6710,±6921,±2982,±5932,±3592,±11908,±7209,,±12652,±4639,±11599,,±3228
0647_!!Percent!!Estimate,(X),,21.90%,25.70%,31.90%,20.40%,,49.20%,50.80%,,55.60%,7.90%,23.50%,N,N,8.90%,3.20%,27.10%,38.30%,,5.50%,6.50%,21.00%,25.90%,7.00%,23.70%,10.30%,88.00%,34.00%,,(X),10.50%,89.50%,,(X)
0647_!!Percent!!Margin of Error,(X),,±1.2,±1.4,±1.1,±1.1,,±0.9,±0.9,,±1.5,±0.9,±1.3,N,N,±1.1,±0.5,±1.7,±1.4,,±0.7,±0.6,±1.2,±1.3,±0.6,±1.1,±0.7,±1.0,±1.4,,(X),±0.9,±0.9,,(X)
0648_!!Total!!Estimate,513819,,94313,116144,179519,123843,,247870,265949,,351152,N,96932,N,N,35253,19800,79515,311421,,16708,23378,84522,116440,44937,147596,80238,473733,227834,,511955,32593,479362,,102806
0648_!!Total!!Margin of Error,±9780,,±5891,±5615,±6629,±5117,,±6594,±5911,,±10395,N,±5553,N,N,±5668,±3060,±6918,±9628,,±2352,±3007,±4607,±5415,±3884,±6241,±4798,±9103,±7256,,±9941,±3410,±9201,,±3561
0648_!!Percent!!Estimate,(X),,18.40%,22.60%,34.90%,24.10%,,48.20%,51.80%,,68.30%,N,18.90%,N,N,6.90%,3.90%,15.50%,60.60%,,3.30%,4.50%,16.40%,22.70%,8.70%,28.70%,15.60%,92.20%,44.30%,,(X),6.40%,93.60%,,(X)
0648_!!Percent!!Margin of Error,(X),,±1.1,±1.0,±1.0,±0.9,,±0.8,±0.8,,±1.5,N,±1.0,N,N,±1.1,±0.6,±1.3,±1.5,,±0.5,±0.6,±0.9,±1.0,±0.7,±1.1,±0.9,±0.7,±1.2,,(X),±0.6,±0.6,,(X)
0649_!!Total!!Estimate,519217,,107331,120797,175736,115353,,256155,263062,,428544,13878,34513,N,N,13668,21677,110450,341974,,15685,17819,89587,118159,43837,142867,91263,485713,234130,,501421,25994,475427,,101853
0649_!!Total!!Margin of Error,±11969,,±6697,±5877,±7413,±5669,,±7705,±6995,,±11035,±2849,±4182,N,N,±2625,±4121,±7165,±10335,,±2563,±2289,±5143,±6196,±4871,±6241,±5198,±12354,±7460,,±11478,±3031,±12073,,±2679
0649_!!Percent!!Estimate,(X),,20.70%,23.30%,33.80%,22.20%,,49.30%,50.70%,,82.50%,2.70%,6.60%,N,N,2.60%,4.20%,21.30%,65.90%,,3.00%,3.40%,17.30%,22.80%,8.40%,27.50%,17.60%,93.50%,45.10%,,(X),5.20%,94.80%,,(X)
0649_!!Percent!!Margin of Error,(X),,±1.1,±1.0,±1.2,±1.0,,±0.8,±0.8,,±1.1,±0.5,±0.8,N,N,±0.5,±0.8,±1.3,±1.4,,±0.5,±0.4,±0.9,±1.1,±0.9,±1.1,±1.0,±0.6,±1.2,,(X),±0.6,±0.6,,(X)
0650_!!Total!!Estimate,524595,,111473,128424,171807,112891,,264948,259647,,424715,N,29686,N,N,24432,23079,131166,326874,,20879,28245,125276,148607,47626,100681,53281,475471,153962,,520526,48258,472268,,81690
0650_!!Total!!Margin of Error,±14474,,±7357,±7404,±7950,±6192,,±8168,±8867,,±13374,N,±4562,N,N,±3881,±3937,±9515,±10322,,±3151,±3133,±7306,±7525,±3814,±6164,±4730,±13970,±8270,,±14280,±5866,±14367,,±2408
0650_!!Percent!!Estimate,(X),,21.20%,24.50%,32.80%,21.50%,,50.50%,49.50%,,81.00%,N,5.70%,N,N,4.70%,4.40%,25.00%,62.30%,,4.00%,5.40%,23.90%,28.30%,9.10%,19.20%,10.20%,90.60%,29.30%,,(X),9.30%,90.70%,,(X)
0650_!!Percent!!Margin of Error,(X),,±1.2,±1.3,±1.3,±1.1,,±0.9,±0.9,,±1.3,N,±0.9,N,N,±0.7,±0.7,±1.6,±1.5,,±0.6,±0.6,±1.3,±1.2,±0.7,±1.0,±0.8,±0.8,±1.3,,(X),±1.1,±1.1,,(X)
0651_!!Total!!Estimate,443525,,125891,124293,118506,74835,,233619,209906,,295442,37017,36727,N,N,48337,17856,279878,79968,,31137,46021,131079,129894,37545,49389,18460,366367,67849,,414620,49226,365394,,58431
0651_!!Total!!Margin of Error,±12723,,±5774,±7335,±5448,±3625,,±7243,±7837,,±12578,±5009,±3902,N,N,±4476,±3152,±11350,±5459,,±3634,±3630,±7851,±7018,±3644,±3796,±2540,±12093,±4252,,±12302,±4217,±11696,,±3069
0651_!!Percent!!Estimate,(X),,28.40%,28.00%,26.70%,16.90%,,52.70%,47.30%,,66.60%,8.30%,8.30%,N,N,10.90%,4.00%,63.10%,18.00%,,7.00%,10.40%,29.60%,29.30%,8.50%,11.10%,4.20%,82.60%,15.30%,,(X),11.90%,88.10%,,(X)
0651_!!Percent!!Margin of Error,(X),,±1.0,±1.4,±1.0,±0.7,,±0.9,±0.9,,±1.8,±1.1,±0.9,N,N,±1.1,±0.7,±1.6,±1.2,,±0.8,±0.8,±1.5,±1.2,±0.8,±0.8,±0.6,±1.2,±0.9,,(X),±1.0,±1.0,,(X)
0652_!!Total!!Estimate,560713,,134008,141939,177190,107576,,284877,275836,,401089,18270,97405,N,N,15770,24254,65811,356114,,7965,14275,71272,122384,36894,184065,123858,538473,307923,,541489,42960,498529,,107652
0652_!!Total!!Margin of Error,±13218,,±7719,±7237,±7512,±5803,,±7215,±8912,,±11891,±3622,±7627,N,N,±4358,±3331,±4962,±11381,,±1815,±2347,±5536,±7106,±3816,±7806,±6034,±12733,±9445,,±13393,±5057,±12057,,±4643
0652_!!Percent!!Estimate,(X),,23.90%,25.30%,31.60%,19.20%,,50.80%,49.20%,,71.50%,3.30%,17.40%,N,N,2.80%,4.30%,11.70%,63.50%,,1.40%,2.50%,12.70%,21.80%,6.60%,32.80%,22.10%,96.00%,54.90%,,(X),7.90%,92.10%,,(X)
0652_!!Percent!!Margin of Error,(X),,±1.1,±1.3,±1.0,±1.0,,±0.8,±0.8,,±1.5,±0.6,±1.2,N,N,±0.8,±0.6,±0.9,±1.5,,±0.3,±0.4,±0.9,±1.1,±0.7,±1.1,±1.1,±0.5,±1.3,,(X),±0.9,±0.9,,(X)
0653_!!Total!!Estimate,564095,,144149,167025,155159,97762,,278952,285143,,369717,46280,79685,N,N,34467,27244,163826,255124,,16844,23063,106101,153361,53463,137528,73735,524188,211263,,555166,49040,506126,,84676
0653_!!Total!!Margin of Error,±15138,,±9775,±8804,±6339,±4800,,±9450,±9066,,±13314,±4736,±7257,N,N,±5429,±3969,±11382,±10138,,±2984,±3411,±6991,±10189,±4144,±6033,±4915,±14327,±7391,,±14933,±5518,±13924,,±3285
0653_!!Percent!!Estimate,(X),,25.60%,29.60%,27.50%,17.30%,,49.50%,50.50%,,65.50%,8.20%,14.10%,N,N,6.10%,4.80%,29.00%,45.20%,,3.00%,4.10%,18.80%,27.20%,9.50%,24.40%,13.10%,92.90%,37.50%,,(X),8.80%,91.20%,,(X)
0653_!!Percent!!Margin of Error,(X),,±1.4,±1.4,±1.0,±0.9,,±0.9,±0.9,,±1.6,±0.8,±1.2,N,N,±1.0,±0.7,±1.7,±1.6,,±0.5,±0.6,±1.1,±1.5,±0.7,±1.0,±0.9,±0.8,±1.3,,(X),±0.9,±0.9,,(X)
0801_!!Total!!Estimate,635916,,150668,210039,171037,104172,,316403,319513,,518177,49346,17893,N,N,23041,23058,128974,421331,,15435,26596,113486,120437,33844,208363,117755,593885,326118,,625044,61452,563592,,80159
0801_!!Total!!Margin of Error,±5891,,±3139,±3898,±3414,±2215,,±3938,±3863,,±6811,±2744,±1693,N,N,±4392,±2449,±4933,±4202,,±2633,±3330,±6136,±6384,±3154,±6116,±5637,±5995,±6960,,±6205,±5939,±7177,,±2377
0801_!!Percent!!Estimate,(X),,23.70%,33.00%,26.90%,16.40%,,49.80%,50.20%,,81.50%,7.80%,2.80%,N,N,3.60%,3.60%,20.30%,66.30%,,2.40%,4.20%,17.80%,18.90%,5.30%,32.80%,18.50%,93.40%,51.30%,,(X),9.80%,90.20%,,(X)
0801_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.3,,±0.4,±0.4,,±0.8,±0.4,±0.3,N,N,±0.7,±0.4,±0.7,±0.6,,±0.4,±0.5,±0.9,±1.0,±0.5,±0.9,±0.9,±0.7,±1.1,,(X),±0.9,±0.9,,(X)
0802_!!Total!!Estimate,639136,,157281,146870,208297,126688,,321508,317628,,590382,N,15672,N,N,6886,14253,53624,547610,,5709,16762,99191,142651,47737,198039,129047,616665,327086,,619696,64267,555429,,88224
0802_!!Total!!Margin of Error,±6277,,±3364,±4097,±4503,±3800,,±4395,±3827,,±6001,N,±2129,N,N,±2243,±2307,±3318,±5716,,±1445,±3048,±6092,±6413,±4094,±7259,±5242,±7828,±8447,,±6976,±6197,±9203,,±2144
0802_!!Percent!!Estimate,(X),,24.60%,23.00%,32.60%,19.80%,,50.30%,49.70%,,92.40%,N,2.50%,N,N,1.10%,2.20%,8.40%,85.70%,,0.90%,2.60%,15.50%,22.30%,7.50%,31.00%,20.20%,96.50%,51.20%,,(X),10.40%,89.60%,,(X)
0802_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.6,±0.6,,±0.4,±0.4,,±0.6,N,±0.3,N,N,±0.3,±0.4,±0.5,±0.6,,±0.2,±0.5,±1.0,±1.0,±0.6,±1.1,±0.8,±0.5,±1.2,,(X),±1.0,±1.0,,(X)
0803_!!Total!!Estimate,571465,,106550,134157,184818,145940,,285677,285788,,520794,N,5212,N,N,14353,N,111292,434909,,11605,33606,151431,147909,48795,121253,56866,526254,178119,,558753,67183,491570,,60679
0803_!!Total!!Margin of Error,±4366,,±3173,±3567,±3378,±2430,,±3441,±3174,,±5291,N,±1402,N,N,±2187,N,±3021,±3586,,±2109,±2997,±5774,±6140,±3593,±5592,±3567,±5410,±6920,,±4706,±5599,±7684,,±1570
0803_!!Percent!!Estimate,(X),,18.60%,23.50%,32.30%,25.50%,,50.00%,50.00%,,91.10%,N,0.90%,N,N,2.50%,N,19.50%,76.10%,,2.00%,5.90%,26.50%,25.90%,8.50%,21.20%,10.00%,92.10%,31.20%,,(X),12.00%,88.00%,,(X)
0803_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.6,N,±0.2,N,N,±0.4,N,±0.5,±0.5,,±0.4,±0.5,±1.0,±1.1,±0.6,±1.0,±0.6,±0.6,±1.1,,(X),±1.0,±1.0,,(X)
0804_!!Total!!Estimate,618377,,122246,165410,210998,119723,,309567,308810,,565417,8335,10147,N,N,13300,N,103478,482978,,15387,32375,154179,145403,56472,136090,78471,570615,214561,,603602,43360,560242,,85083
0804_!!Total!!Margin of Error,±6999,,±4399,±3822,±4299,±2930,,±4863,±3870,,±7091,±1408,±1668,N,N,±2523,N,±5078,±4857,,±2456,±3064,±5850,±6015,±3526,±4858,±4269,±7317,±6251,,±7197,±3605,±7292,,±2255
0804_!!Percent!!Estimate,(X),,19.80%,26.70%,34.10%,19.40%,,50.10%,49.90%,,91.40%,1.30%,1.60%,N,N,2.20%,N,16.70%,78.10%,,2.50%,5.20%,24.90%,23.50%,9.10%,22.00%,12.70%,92.30%,34.70%,,(X),7.20%,92.80%,,(X)
0804_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.6,±0.5,,±0.4,±0.4,,±0.6,±0.2,±0.3,N,N,±0.4,N,±0.7,±0.8,,±0.4,±0.5,±0.9,±0.9,±0.6,±0.8,±0.7,±0.6,±1.0,,(X),±0.6,±0.6,,(X)
0805_!!Total!!Estimate,618627,,147554,156553,194543,119977,,318636,299991,,518648,37348,14468,N,N,15783,23514,83122,462132,,8070,25532,146252,160704,65687,135034,77348,585025,212382,,591267,49516,541751,,71865
0805_!!Total!!Margin of Error,±3580,,±2106,±2738,±2320,±1715,,±2360,±2520,,±4901,±1883,±1246,N,N,±3443,±2620,±3073,±2066,,±1510,±3064,±6924,±6205,±4577,±5995,±4648,±4883,±7237,,±4172,±5058,±6553,,±1750
0805_!!Percent!!Estimate,(X),,23.90%,25.30%,31.40%,19.40%,,51.50%,48.50%,,83.80%,6.00%,2.30%,N,N,2.60%,3.80%,13.40%,74.70%,,1.30%,4.10%,23.60%,26.00%,10.60%,21.80%,12.50%,94.60%,34.30%,,(X),8.40%,91.60%,,(X)
0805_!!Percent!!Margin of Error,(X),,±0.3,±0.4,±0.3,±0.3,,±0.3,±0.3,,±0.7,±0.3,±0.2,N,N,±0.6,±0.4,±0.4,±0.4,,±0.2,±0.5,±1.1,±1.0,±0.7,±1.0,±0.7,±0.6,±1.2,,(X),±0.9,±0.9,,(X)
0806_!!Total!!Estimate,569294,,114725,155655,195988,102926,,282862,286432,,443597,53209,29658,N,N,19420,17422,83159,387284,,11329,26439,120486,121361,48401,152997,88281,531526,241278,,563275,30116,533159,,91507
0806_!!Total!!Margin of Error,±8619,,±5332,±3978,±4578,±3580,,±5334,±5051,,±7936,±3019,±2780,N,N,±3961,±3015,±5982,±6314,,±2204,±3290,±6196,±5858,±3708,±5191,±4716,±9152,±6996,,±8742,±3572,±9383,,±2124
0806_!!Percent!!Estimate,(X),,20.20%,27.30%,34.40%,18.10%,,49.70%,50.30%,,77.90%,9.30%,5.20%,N,N,3.40%,3.10%,14.60%,68.00%,,2.00%,4.60%,21.20%,21.30%,8.50%,26.90%,15.50%,93.40%,42.40%,,(X),5.30%,94.70%,,(X)
0806_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.6,±0.6,,±0.5,±0.5,,±0.9,±0.5,±0.5,N,N,±0.7,±0.5,±1.0,±1.0,,±0.4,±0.6,±0.9,±0.9,±0.6,±1.0,±0.8,±0.7,±1.3,,(X),±0.6,±0.6,,(X)
0807_!!Total!!Estimate,591395,,131650,170329,178558,110858,,293995,297400,,522665,8981,16482,N,N,16555,20582,138164,412910,,16631,38022,155474,131706,45771,137146,66645,536742,203791,,583018,41489,541529,,78733
0807_!!Total!!Margin of Error,±7760,,±3815,±4356,±5065,±3030,,±4867,±4739,,±8246,±1999,±2180,N,N,±2598,±3513,±5754,±5727,,±2616,±4189,±7955,±6673,±3876,±5226,±3742,±7813,±6599,,±7516,±4939,±8159,,±2436
0807_!!Percent!!Estimate,(X),,22.30%,28.80%,30.20%,18.70%,,49.70%,50.30%,,88.40%,1.50%,2.80%,N,N,2.80%,3.50%,23.40%,69.80%,,2.80%,6.40%,26.30%,22.30%,7.70%,23.20%,11.30%,90.80%,34.50%,,(X),7.10%,92.90%,,(X)
0807_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.7,±0.5,,±0.5,±0.5,,±0.8,±0.3,±0.4,N,N,±0.4,±0.6,±0.8,±0.9,,±0.4,±0.7,±1.2,±1.1,±0.7,±0.9,±0.6,±0.8,±1.2,,(X),±0.8,±0.8,,(X)
0901_!!Total!!Estimate,519263,,98377,117787,182219,120880,,243906,275357,,377819,76062,17924,N,N,28519,17334,75164,341048,,15819,29348,139193,103582,43201,107980,80140,474096,188120,,508452,48938,459514,,76030
0901_!!Total!!Margin of Error,±8315,,±3405,±4508,±4664,±3491,,±5163,±4774,,±7324,±3624,±2546,N,N,±3610,±3278,±3999,±6648,,±2172,±3278,±5820,±5939,±3942,±5337,±4357,±7907,±6212,,±8246,±3986,±9338,,±2057
0901_!!Percent!!Estimate,(X),,18.90%,22.70%,35.10%,23.30%,,47.00%,53.00%,,72.80%,14.60%,3.50%,N,N,5.50%,3.30%,14.50%,65.70%,,3.00%,5.70%,26.80%,19.90%,8.30%,20.80%,15.40%,91.30%,36.20%,,(X),9.60%,90.40%,,(X)
0901_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.8,±0.6,,±0.5,±0.5,,±1.0,±0.7,±0.5,N,N,±0.7,±0.6,±0.7,±0.9,,±0.4,±0.6,±1.1,±1.1,±0.7,±1.0,±0.8,±0.7,±1.1,,(X),±0.8,±0.8,,(X)
0902_!!Total!!Estimate,548326,,112421,112267,195054,128584,,271760,276566,,491108,22427,13916,N,N,8814,9748,35060,469952,,8212,28278,158673,127429,46126,107130,72478,511836,179608,,515272,35935,479337,,80400
0902_!!Total!!Margin of Error,±5925,,±3689,±3519,±3802,±2687,,±3892,±4015,,±5780,±2200,±2200,N,N,±1950,±1742,±2507,±5335,,±1299,±3013,±6302,±5587,±3380,±4924,±4110,±6524,±5842,,±6140,±3459,±6845,,±2215
0902_!!Percent!!Estimate,(X),,20.50%,20.50%,35.60%,23.50%,,49.60%,50.40%,,89.60%,4.10%,2.50%,N,N,1.60%,1.80%,6.40%,85.70%,,1.50%,5.20%,28.90%,23.20%,8.40%,19.50%,13.20%,93.30%,32.80%,,(X),7.00%,93.00%,,(X)
0902_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.6,±0.5,,±0.5,±0.5,,±0.6,±0.4,±0.4,N,N,±0.4,±0.3,±0.4,±0.6,,±0.2,±0.6,±1.1,±1.0,±0.6,±0.9,±0.8,±0.6,±1.1,,(X),±0.7,±0.7,,(X)
0903_!!Total!!Estimate,545247,,118380,112316,191862,122689,,258201,287046,,414271,79861,18553,N,N,18992,12790,70319,375307,,13117,33656,171313,112493,35067,99665,79936,498474,179601,,522831,47968,474863,,71315
0903_!!Total!!Margin of Error,±7309,,±4430,±4270,±5115,±3166,,±4585,±5326,,±7186,±4915,±2248,N,N,±3327,±3150,±4790,±6265,,±2113,±3992,±7635,±5710,±3407,±6150,±4800,±8006,±7688,,±7357,±5025,±8721,,±2375
0903_!!Percent!!Estimate,(X),,21.70%,20.60%,35.20%,22.50%,,47.40%,52.60%,,76.00%,14.60%,3.40%,N,N,3.50%,2.30%,12.90%,68.80%,,2.40%,6.20%,31.40%,20.60%,6.40%,18.30%,14.70%,91.40%,32.90%,,(X),9.20%,90.80%,,(X)
0903_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.8,±0.6,,±0.6,±0.6,,±1.1,±0.9,±0.4,N,N,±0.6,±0.6,±0.8,±1.0,,±0.4,±0.7,±1.3,±1.0,±0.6,±1.1,±0.9,±0.8,±1.3,,(X),±1.0,±1.0,,(X)
0904_!!Total!!Estimate,487562,,89997,106867,180426,110272,,228970,258592,,380733,60242,19825,N,N,15878,10195,68884,334094,,15525,21031,95187,74202,30443,142869,108305,451006,251174,,477177,35986,441191,,108220
0904_!!Total!!Margin of Error,±8323,,±3919,±4068,±5217,±3714,,±4821,±5217,,±8079,±4398,±2736,N,N,±3346,±2453,±5267,±6542,,±2127,±2760,±5124,±4619,±3288,±5446,±4917,±8671,±6358,,±8420,±4236,±8897,,±5006
0904_!!Percent!!Estimate,(X),,18.50%,21.90%,37.00%,22.60%,,47.00%,53.00%,,78.10%,12.40%,4.10%,N,N,3.30%,2.10%,14.10%,68.50%,,3.20%,4.30%,19.50%,15.20%,6.20%,29.30%,22.20%,92.50%,51.50%,,(X),7.50%,92.50%,,(X)
0904_!!Percent!!Margin of Error,(X),,±0.7,±0.8,±0.8,±0.7,,±0.6,±0.6,,±1.1,±0.9,±0.5,N,N,±0.7,±0.5,±1.0,±1.0,,±0.4,±0.6,±0.9,±0.9,±0.7,±1.0,±1.0,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
0905_!!Total!!Estimate,519076,,99838,109257,183290,126691,,250870,268206,,420591,37660,16098,N,N,30090,13615,80167,376687,,17542,30460,152299,97846,41005,107637,72287,471074,179924,,506672,47582,459090,,76020
0905_!!Total!!Margin of Error,±11733,,±5837,±5306,±6844,±5105,,±7346,±7021,,±12145,±4268,±2345,N,N,±5417,±2740,±6701,±10755,,±2121,±3170,±7327,±5549,±3535,±5967,±4213,±11940,±7301,,±11740,±4796,±12120,,±3458
0905_!!Percent!!Estimate,(X),,19.20%,21.00%,35.30%,24.40%,,48.30%,51.70%,,81.00%,7.30%,3.10%,N,N,5.80%,2.60%,15.40%,72.60%,,3.40%,5.90%,29.30%,18.90%,7.90%,20.70%,13.90%,90.80%,34.70%,,(X),9.40%,90.60%,,(X)
0905_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±1.0,±1.0,,±0.8,±0.8,,±1.3,±0.8,±0.5,N,N,±1.0,±0.5,±1.2,±1.3,,±0.4,±0.6,±1.2,±0.9,±0.7,±1.0,±0.7,±0.8,±1.1,,(X),±0.9,±0.9,,(X)
10(at Large)_!!Total!!Estimate,725178,,138340,153789,246241,186808,,344221,380957,,525325,157024,18037,N,N,7816,13317,42220,495549,,14176,46083,225659,160010,57123,133974,88153,664919,222127,,703505,67395,636110,,70866
10(at Large)_!!Total!!Margin of Error,±3702,,±2117,±2206,±2378,±1206,,±2358,±2594,,±3039,±3369,±1499,N,N,±1897,±2249,±2473,±1666,,±2177,±3928,±7576,±5876,±3665,±6586,±4617,±5894,±6677,,±3684,±5805,±6779,,±1740
10(at Large)_!!Percent!!Estimate,(X),,19.10%,21.20%,34.00%,25.80%,,47.50%,52.50%,,72.40%,21.70%,2.50%,N,N,1.10%,1.80%,5.80%,68.30%,,2.00%,6.40%,31.10%,22.10%,7.90%,18.50%,12.20%,91.70%,30.60%,,(X),9.60%,90.40%,,(X)
10(at Large)_!!Percent!!Margin of Error,(X),,±0.3,±0.3,±0.3,±0.2,,±0.2,±0.2,,±0.4,±0.4,±0.2,N,N,±0.3,±0.3,±0.3,±0.3,,±0.3,±0.5,±1.0,±0.8,±0.5,±0.9,±0.6,±0.6,±0.9,,(X),±0.8,±0.8,,(X)
11Delegate District (at Large)_!!Total!!Estimate,536768,,145373,173776,134136,83483,,249106,287662,,244643,243233,20690,N,N,11852,14616,41218,221801,,12142,24518,93821,92396,16577,138796,158518,500108,297314,,508741,61968,446773,,93535
11Delegate District (at Large)_!!Total!!Margin of Error,±3759,,±2135,±2625,±1942,±1289,,±2526,±2811,,±3385,±3697,±1395,N,N,±2791,±2557,±2404,±1893,,±2661,±2758,±5601,±5292,±2540,±5780,±5497,±5363,±6005,,±3781,±5480,±6624,,±3014
11Delegate District (at Large)_!!Percent!!Estimate,(X),,27.10%,32.40%,25.00%,15.60%,,46.40%,53.60%,,45.60%,45.30%,3.90%,N,N,2.20%,2.70%,7.70%,41.30%,,2.30%,4.60%,17.50%,17.20%,3.10%,25.90%,29.50%,93.20%,55.40%,,(X),12.20%,87.80%,,(X)
11Delegate District (at Large)_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.3,±0.2,,±0.4,±0.4,,±0.6,±0.7,±0.3,N,N,±0.5,±0.5,±0.4,±0.3,,±0.5,±0.5,±1.0,±1.0,±0.5,±1.1,±1.0,±0.8,±1.0,,(X),±1.1,±1.1,,(X)
1201_!!Total!!Estimate,606302,,127493,142651,200317,135841,,303884,302418,,484011,77543,12630,N,N,7843,20695,31316,464127,,12201,44661,178324,152832,62852,104522,50910,549440,155432,,578536,60135,518401,,58801
1201_!!Total!!Margin of Error,±4032,,±3016,±3413,±2757,±1957,,±2495,±2656,,±2858,±2872,±1597,N,N,±1824,±2661,±1590,±2494,,±1962,±3867,±6873,±5753,±4592,±5307,±3461,±5522,±6231,,±5055,±5670,±7483,,±3044
1201_!!Percent!!Estimate,(X),,21.00%,23.50%,33.00%,22.40%,,50.10%,49.90%,,79.80%,12.80%,2.10%,N,N,1.30%,3.40%,5.20%,76.60%,,2.00%,7.40%,29.40%,25.20%,10.40%,17.20%,8.40%,90.60%,25.60%,,(X),10.40%,89.60%,,(X)
1201_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.3,,±0.3,±0.3,,±0.4,±0.4,±0.3,N,N,±0.3,±0.4,±0.3,±0.4,,±0.3,±0.6,±1.1,±0.9,±0.8,±0.9,±0.6,±0.7,±1.0,,(X),±1.0,±1.0,,(X)
1202_!!Total!!Estimate,561491,,107993,118683,187819,146996,,281531,279960,,464093,70795,8937,N,N,5302,N,25312,445485,,15757,51714,182031,131600,53063,77229,50097,494020,127326,,519960,62424,457536,,54392
1202_!!Total!!Margin of Error,±7697,,±5133,±3974,±4272,±3824,,±5029,±4897,,±6799,±4019,±1377,N,N,±1235,N,±2563,±5896,,±2213,±4595,±7534,±6956,±4198,±4939,±4100,±8896,±6094,,±7383,±5273,±8662,,±1847
1202_!!Percent!!Estimate,(X),,19.20%,21.10%,33.50%,26.20%,,50.10%,49.90%,,82.70%,12.60%,1.60%,N,N,0.90%,N,4.50%,79.30%,,2.80%,9.20%,32.40%,23.40%,9.50%,13.80%,8.90%,88.00%,22.70%,,(X),12.00%,88.00%,,(X)
1202_!!Percent!!Margin of Error,(X),,±0.8,±0.7,±0.7,±0.7,,±0.6,±0.6,,±0.8,±0.7,±0.2,N,N,±0.2,N,±0.4,±0.7,,±0.4,±0.8,±1.3,±1.2,±0.7,±0.9,±0.7,±1.0,±1.0,,(X),±1.0,±1.0,,(X)
1203_!!Total!!Estimate,579748,,141318,129828,182094,126508,,284160,295588,,449206,93316,14512,N,N,7620,12486,52563,408500,,12180,39257,172986,134450,65899,93486,61490,528311,154976,,548812,78984,469828,,56926
1203_!!Total!!Margin of Error,±6918,,±3347,±4462,±4671,±3795,,±3767,±4809,,±6840,±4633,±1762,N,N,±2463,±2606,±2891,±5455,,±1863,±3694,±8101,±6243,±4508,±5798,±3991,±8209,±6591,,±7972,±6166,±10007,,±2318
1203_!!Percent!!Estimate,(X),,24.40%,22.40%,31.40%,21.80%,,49.00%,51.00%,,77.50%,16.10%,2.50%,N,N,1.30%,2.20%,9.10%,70.50%,,2.10%,6.80%,29.80%,23.20%,11.40%,16.10%,10.60%,91.10%,26.70%,,(X),14.40%,85.60%,,(X)
1203_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.7,±0.6,,±0.4,±0.4,,±0.8,±0.8,±0.3,N,N,±0.4,±0.4,±0.5,±0.7,,±0.3,±0.6,±1.3,±1.1,±0.8,±1.0,±0.7,±0.7,±1.1,,(X),±1.1,±1.1,,(X)
1204_!!Total!!Estimate,625074,,123358,150489,210629,140598,,300144,324930,,518873,59655,21492,N,N,8191,13640,43627,486420,,10522,29635,152153,130698,60105,159259,82702,584917,241961,,609509,45269,564240,,77950
1204_!!Total!!Margin of Error,±10630,,±5733,±5635,±6436,±3671,,±5191,±7623,,±7240,±5593,±2979,N,N,±2878,±2466,±4174,±6740,,±2582,±4288,±7776,±7653,±5366,±8874,±5350,±10407,±9279,,±10853,±5019,±10971,,±3071
